city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
holland,52.55270795,4.831577956975391,Clouds,52.2,76,1013,4.0,12
isangel,-19.5410863,169.2810885,Clouds,79.83,89,1006,0.0,40
sorland,61.8986221,5.7912616,Rain,50.0,95,997,5.95,100
terre-de-bas,15.8462812,-61.6328502,Clouds,81.34,79,1012,16.06,100
labuhan,-6.891973,112.9897177,Clouds,79.84,80,1009,5.32,100
goderich,43.7430924,-81.7110949,Clear,60.71,33,1024,12.66,0
mackay,-21.141956,149.1865149,Clouds,73.65,59,1016,14.61,89
xinyu,27.8214162,114.9124505,Clouds,67.53,76,1017,3.02,28
lompoc,34.6391501,-120.4579409,Clouds,60.15,63,1020,10.36,40
savelugu,9.6260647,-0.8258943,Clear,84.7,34,1011,1.52,0
price,39.600808150000006,-110.80634785005043,Clouds,34.86,86,1008,6.91,100
bolungarvik,66.1575503,-23.2507273,Snow,34.99,98,984,39.3,100
barabai,-2.58553,115.3845228,Clouds,72.81,98,1010,1.23,84
newton,42.3370414,-71.2092214,Clear,49.12,53,1034,9.22,0
bandar-e lengeh,26.5620668,54.883817,Clouds,78.91,65,1014,9.22,11
mokolo,10.74103,13.798742,Clouds,73.67,31,1012,5.59,33
conakry,9.5170602,-13.6998434,Rain,82.85,73,1013,10.22,95
buraydah,26.331667,43.971667,Clouds,70.23,40,1015,5.75,75
general roca,-39.0266276,-67.5754863,Rain,68.9,66,1005,33.91,98
kimbe,-5.5562921,150.1529513,Rain,78.3,89,1010,2.55,99
toungoo,18.9342565,96.4326678,Clear,67.96,88,1012,2.57,1
nguiu,-11.7625858,130.6321091,Clear,76.75,88,1010,2.53,4
bacuit,11.1800079,119.3904846,Clouds,81.86,80,1009,11.34,100
amderma,69.7522076,61.662267280204404,Clouds,15.39,83,1017,5.23,32
lazarev,52.2104004,141.5195022,Snow,27.73,90,1002,34.27,100
georgetown,6.8137426,-58.1624465,Clouds,82.38,78,1009,6.91,20
griffith,-34.2870772,146.0551022,Clouds,66.97,67,1017,1.01,38
aleksandrov gay,50.14246,48.568436,Clouds,35.11,84,1030,7.61,36
ponta do sol,32.681067,-17.104073,Clouds,67.33,85,1023,3.65,40
hithadhoo,1.7959425,73.38755195657038,Rain,81.05,75,1010,15.41,100
nan,46.3144754,11.0480288,Fog,48.85,96,1020,19.57,100
pevek,69.7028171,170.2746851,Clouds,-8.28,99,1007,2.35,100
flinders,-20.862898,144.2526073309786,Rain,74.19,67,1015,14.38,100
samana,19.2055052,-69.3362252,Clouds,84.42,74,1010,4.61,20
chiredzi,-21.0452949,31.6688771,Clear,75.31,71,1010,7.16,10
westport,41.1414855,-73.3578955,Clear,49.95,56,1035,5.01,0
panacan,7.151479,125.6586603,Clouds,77.11,100,1008,8.05,75
kidal,18.4408358,1.4075395,Clear,75.24,10,1015,9.98,4
minuri,16.5287076,121.8533226,Clouds,72.72,93,1013,1.63,100
pong,12.9505662,100.98119,Clouds,77.13,80,1010,6.51,97
andilamena,-17.0141073,48.5725128,Clouds,57.27,88,1018,3.51,97
chignahuapan,19.8383068,-98.030995,Clear,63.81,58,1016,9.4,5
povoa de varzim,41.3794188,-8.7598689,Clouds,61.18,100,1022,5.75,75
constitucion,-35.3318306,-72.4118998,Rain,54.03,93,1017,14.67,100
taoudenni,22.6762333,-3.9805269,Clouds,77.79,12,1015,11.25,86
reyes,-14.2952193,-67.335855,Clouds,96.03,29,1002,3.15,85
kloulklubed,7.0415131,134.2564595,Rain,75.52,77,1009,13.69,100
erenhot,43.6407813,111.943519,Clear,39.76,55,1020,6.4,3
quzhou,36.7698986,114.9585243,Clouds,50.94,91,1020,5.28,47
gamboma,-1.8710301,15.8779917,Clouds,72.43,93,1012,2.26,100
champerico,14.293651,-91.911813,Rain,90.16,70,1009,5.99,6
dongtai,32.8536216,120.3122464,Clear,60.1,97,1020,5.01,1
thompson,55.743347,-97.863464,Snow,12.38,85,1023,9.22,100
airai,-8.92655,125.40922,Clouds,61.16,91,1012,1.66,63
port-gentil,-0.7149116,8.7797434,Clouds,78.78,94,1013,6.91,75
pachino,36.7152093,15.0914773,Clear,64.99,75,1021,5.1,8
batagay-alyta,67.799362,130.403229,Clouds,-16.98,89,1014,3.49,51
bereda,11.2135,8.392556,Clear,74.05,28,1013,2.66,7
sumenep,-7.006745,113.8598666,Clouds,79.72,81,1009,4.63,100
cortez,37.3494528,-108.584073,Clouds,37.99,87,1013,19.57,100
cordoba,-31.4173391,-64.183319,Clear,84.7,23,981,24.16,5
stromness,58.9614356,-3.2993767,Clouds,48.83,85,993,18.99,100
svetlogorsk,54.9417552,20.1550863,Clouds,47.52,84,1011,16.98,99
arua,44.0603921,-0.3508658,Clear,48.2,93,1023,3.38,1
bengkulu,-3.7922858,102.2623797,Rain,75.36,90,1009,3.47,100
belyy yar,53.596436,91.382362,Clear,24.82,85,1031,6.71,0
iqaluit,63.74944,-68.521857,Clouds,10.35,79,1013,14.97,100
maldonado,-34.9087162,-54.9582718,Clear,69.64,60,1015,16.11,0
pacific grove,36.6211149,-121.917794,Clear,57.07,67,1020,8.05,0
cap malheureux,-19.9859951,57.619612,Clear,71.46,71,1017,1.99,10
masindi,1.6852537,31.7205937,Rain,63.68,98,1013,3.98,100
dzhebariki-khaya,62.218327,135.859451,Clouds,-34.22,98,1023,1.63,89
vestmanna,62.156,-7.166,Rain,49.24,93,979,11.5,100
seara,-27.1528578,-52.3096985,Clear,79.93,61,1012,2.44,0
kruisfontein,-34.0119558,24.7433295,Rain,56.98,82,1021,5.3,61
altay,47.8257562,88.1291701,Clouds,20.35,55,1038,5.19,18
davila,18.4674157,120.5785499,Clouds,76.89,80,1011,2.8,94
vardo,70.3308174,30.961751972265887,Clouds,36.28,87,1009,12.66,75
maumere,-8.6256456,122.2192885,Rain,81.21,77,1010,6.17,85
